Hugo_Symbol,MB-0362,MB-0346,MB-0386,MB-0574,MB-0503,MB-0641,MB-0201,MB-0218,MB-0316,MB-0189,MB-0891,MB-0658,MB-0899,MB-0605,MB-0258
RERE,8.67697843,9.653589471,9.033588668,8.814855494,9.274264669,9.28658507,8.437347104,8.569972878,8.892102377,8.922748485,9.053967126,8.293002585,8.643689431,8.576128169,9.14573929
RNF165,6.07533084,6.687887066,5.910884641,5.628740046,5.908697652,6.206728732,6.0955921,6.383530471,5.773690851,6.461321213,6.093466503,6.725088487,7.010217195,6.058684233,6.248063316
CD049690,5.453927669,5.454184984,5.50157743,5.471940941,5.531743083,5.372667911,5.693518729,5.401276279,5.56794645,5.410957148,5.251529283,5.397237093,5.47724806,5.245658407,5.551139769
BC033982,4.994524957,5.346009628,5.24746668,5.316523021,5.244094244,5.167365091,5.189106219,5.416516572,5.339132653,5.389980321,5.157996394,5.125467243,5.313121401,5.158004094,5.080462874
PHF7,5.838270138,5.600875719,6.030718244,5.849427973,5.964661172,5.783374252,5.737571997,5.923928275,5.902223177,5.536764159,5.855083943,5.65948805,5.886145744,6.034526787,6.159711628
CIDEA,6.397503222,5.246318788,10.11181649,6.116867685,7.82817117,8.744149438,5.480090649,5.67157665,5.509498451,7.196944585,9.28631548,7.176815873,6.906790832,8.255078633,8.199136029
PAPD4,7.906216659,8.267255975,7.959291172,9.206376342,8.706645519,8.518928712,7.47841307,8.410582514,7.779545174,8.385896703,8.396757445,8.177391096,7.839946683,8.09858824,8.307293266
AI082173,5.259460519,5.380068951,5.262023935,5.396576078,5.167213464,5.228937033,5.430229857,5.200576475,5.383723502,5.39707043,5.260215819,5.19308003,5.298804361,5.391016211,5.267392423
SLC17A3,5.702378742,5.521793842,5.689532915,5.439129868,5.417484229,5.629884554,5.686285786,5.770271074,5.510622355,5.594352407,5.458313094,5.431932143,5.595748156,5.619164997,5.596989074
SDS,6.930741283,6.141689382,6.529312257,6.430102004,6.684893472,5.632753205,5.866132211,7.403098353,6.88174879,6.484873411,6.114076657,7.129920487,6.585528454,5.894022503,7.0749724
ATP6V1C2,5.332862656,7.563476625,5.482155366,5.398674835,5.266673858,5.701353068,6.403135687,5.508144482,5.709038484,5.395278005,5.48268594,5.362605366,5.3172942,5.659669519,5.298500737
F3,5.275675792,5.376380962,5.463788203,5.40976102,5.490693444,5.363266331,6.341856264,5.611313684,5.906921646,6.755304038,6.36774174,5.965157114,6.31249136,6.708763457,5.535845436
FAM71C,5.443895599,5.319857154,5.254294026,5.512297723,5.363378488,5.191612314,5.208379296,5.651903428,5.452134862,5.357860345,5.466467986,5.350459681,5.539913282,5.483998717,5.456046519
AK055082,5.391824927,5.493959755,5.405767329,5.452994772,5.635477998,5.161595406,5.478668438,5.406578497,5.487828211,5.370348327,5.445721886,5.487000407,5.357100649,5.532931007,5.479219746
BU687559,5.332039454,4.974667964,5.306544607,5.409993115,5.376542796,5.146046701,5.391583662,5.397732514,5.242184996,5.485404787,5.038344927,5.224640678,5.2414469,5.377175763,5.285227212
LIN52,6.654908835,6.546138673,6.290807072,6.270448459,6.57509333,6.339673875,6.669555124,6.902267222,6.078369678,6.896183161,6.533929164,6.535445624,6.105319993,6.333736949,6.7089253
PCOTH,6.116268531,5.49612102,6.202997455,5.882994572,5.766303209,5.29764727,5.872325785,5.986409453,5.525795757,5.563798692,5.930146704,5.410935475,5.342566758,5.417471377,5.885251009
GRM1,5.502459221,5.396099665,5.166248219,5.314792547,5.303813681,5.254644512,5.165143426,5.379286284,5.267697578,5.217909335,5.294645927,5.435525326,5.587758349,5.394487779,5.547815924
FXN,6.170848396,6.462098702,5.881026718,6.059836643,6.427344801,6.192813509,6.245013046,5.994631662,6.03672688,6.123717538,6.027667269,6.075576285,6.009422619,6.041152288,5.994308537
SLC9A1,10.0142622,9.348526946,8.811784591,8.952056505,9.2940076,9.07448575,9.073483388,8.917496867,9.206066864,9.583311774,9.255845717,8.648056095,8.971369678,9.487947331,8.871050595
PML,6.223713621,5.77165837,6.532682023,6.11358686,6.218403859,6.698461223,6.213693296,6.206467648,6.938306481,6.013757154,6.287488677,6.487315859,6.222533042,6.348221658,6.63308297
CR749394,5.282516653,5.312610508,5.436368931,5.539568552,5.121196831,5.356934722,5.254903089,5.266096261,5.699143879,5.195771172,5.464721932,5.430366039,5.448026555,5.45601067,5.267636723
CD164,5.453829651,5.856598584,5.381198518,5.897421823,5.424915514,5.30363008,5.295739482,5.750634878,5.724758453,6.147561138,6.065479211,5.807719511,6.449963571,5.849672368,6.104016891
DB337918,5.393823406,5.038963379,5.451263965,5.602036495,5.53660495,5.344465056,5.544628188,5.479739674,5.26756858,5.459103893,5.621884282,5.524043101,5.208114268,5.269484376,5.346138574
MOBKL2A,6.781114379,6.932299004,6.671176051,6.708134754,6.97223168,7.160777566,7.082701376,6.727930278,6.863075988,6.771742646,6.7344475,6.80294035,6.753697353,7.001174509,6.466174962
HGC6.1.1,7.504079425,5.470089178,5.487075897,5.23818903,5.332219976,5.192835827,5.194159352,5.207901765,5.366228463,5.229478166,5.505487401,5.601378399,5.39885219,5.597089355,5.408124795
OR1J2,5.1802515,5.50676545,5.579007097,5.407079565,5.628957677,5.354078828,5.245637138,5.31138549,5.471344976,5.570103001,5.564109131,5.375145492,5.483907198,5.319670583,5.471919131
GNG5,8.852986309,8.578356383,8.3819303,8.86233854,8.991659845,8.396526907,8.033162674,8.60039594,8.839458264,8.348755143,8.398941664,9.038146725,8.173396443,8.683116904,10.05235857
TAF15,10.16658975,8.954535242,9.688829694,10.62720419,11.11385633,10.49788985,10.19699424,10.14383267,10.20001393,10.28040645,10.03537361,10.1034716,10.03960854,10.32997931,10.75267944
EXTL3,6.338942009,6.614996163,7.174418596,7.861521154,6.785892883,6.900978275,6.726223184,6.666561121,7.445598603,6.819077614,7.117419481,6.669013704,7.012445569,6.530143772,6.283324114
CNPY3,7.830940295,7.266968009,7.510641671,8.504880853,7.427664489,7.842467109,7.705597311,7.396803508,8.306100663,7.847086236,7.421367119,7.849065218,7.628264699,7.627194372,7.809345569
C19orf24,7.75991055,8.73774819,7.538776405,8.472334254,7.623514635,7.809135754,7.375813786,8.255172636,7.824648439,7.311349003,7.915847635,7.653470652,7.648754522,7.495065031,7.959201359
GAS2L2,5.541562857,5.351616727,5.334597498,5.425727422,5.215198282,5.594748802,5.405914527,5.429495391,5.365672117,5.577565008,5.531377113,5.56282809,5.544998126,5.430437369,5.815795005
AA913006,5.334756692,5.221230885,5.320168852,5.477933769,5.23740732,5.278128697,5.201092709,5.401294055,5.339981847,5.163106672,5.49234478,5.252977191,5.138963222,5.260403772,5.24872781
C21orf33,8.293492627,8.003608073,8.242359781,8.196947776,8.099301407,8.446695359,7.529388204,8.303794549,8.314105148,8.008120971,7.949780876,7.991340437,7.979906552,7.703864216,9.045066598
DA442494,5.190575394,5.204524929,5.397104103,5.371514987,5.306056405,5.312319417,5.391130151,5.332450579,5.415092339,5.144265188,5.364099427,5.365938109,5.24531824,5.427405095,5.433780547
P2RX1,5.795105787,5.422077321,5.536267703,5.405207804,5.949686254,5.810179519,5.537779572,5.701443709,5.876521211,5.742443431,5.715585341,5.615639933,5.683564922,5.621208216,5.638994882
CD515666,5.5574412,5.604374547,5.42968882,5.251938868,4.993864727,5.363974744,5.591057206,5.528430706,5.601789417,5.572860418,5.433260412,5.271630449,5.32635305,5.430150725,5.309518494
LRR1,8.133722451,8.575274898,7.773822093,7.565383244,7.270413223,7.353230948,8.525687603,8.649657487,8.119422104,7.959830964,7.479192503,8.865203635,7.771317552,7.570659364,8.072988123
ATP1B2,6.463730986,6.328006415,6.301213344,6.681692807,7.026336974,6.737698221,6.666387408,6.54594912,6.584193535,6.664152566,6.324895503,6.645413133,6.391656721,6.657179107,7.044351474
BM668203,5.307319054,5.313813994,5.379018336,5.446782927,5.713625363,5.506569286,5.341465869,5.309308289,5.588672835,5.377294027,5.16157732,5.485864601,5.551423279,5.342431023,5.612408308
UBLCP1,5.908625996,6.054625002,6.103212082,6.247464951,6.258711269,6.472262707,6.506001404,6.851787705,6.88386654,7.344641936,7.12460225,7.348335014,7.2235397,7.085458028,6.696552965
BG236224,5.488834333,5.31890816,5.14985546,5.336722017,5.391423624,5.351991501,5.381342686,5.354325969,5.441107782,5.270138744,5.554684165,5.279665925,5.238602881,5.37306934,5.24303453
ADAMTSL4,6.182266788,5.93910317,5.937610118,5.50661327,5.749602468,6.260421724,6.205092762,5.706052215,5.936915991,6.000708391,6.207136204,6.089648079,5.864993477,5.941575469,5.735849958
BX109195,5.420022118,5.386150177,5.357623989,5.492948361,5.030004122,5.438175552,5.383552746,5.545897035,5.326188694,5.458808311,5.467403464,5.211928761,5.534979709,5.369472171,5.278801938
IL28B,5.113389531,5.318686355,5.385586292,5.469042879,5.318001005,5.364633887,5.351422008,5.324731041,5.244702241,5.328715537,5.26805721,5.416148912,5.227621853,5.207370054,5.497653751
DES,5.343217565,5.39840027,5.310264332,5.297979894,5.324386978,5.722979749,5.449152898,5.46121094,5.326135719,5.453404493,5.474694006,5.559983933,5.455613849,5.709560088,5.390694534
HERC2P9,5.436471664,5.630920783,5.455647249,5.404686436,5.40296584,5.863967021,5.629246318,5.473739815,5.875462752,5.727950065,5.735104974,5.68396134,5.422033123,5.671520525,5.546002241
BC033582,5.507741271,5.166391352,5.061891101,5.391362369,5.264081328,5.442162173,5.447700669,5.619593688,5.319080654,5.428782667,5.437726416,5.274870173,5.36016001,5.22306753,5.372980202
PRR16,6.609981956,6.541949033,6.28722477,6.163620822,6.460239323,6.483508468,6.307636235,6.415095967,6.470078918,6.314353123,6.308683199,6.588225989,6.012176839,6.6222856,6.135980232
HIPK2,7.655179145,7.033682886,7.375785398,7.108554267,7.489579759,7.335830427,7.302815411,6.839674021,7.986762059,7.517979707,8.058492931,7.138535832,7.404821216,7.033944027,7.974237525
SHMT2,9.918027009,12.36967864,9.547593198,9.624116484,9.253191277,9.642810982,10.94332051,10.37784592,10.31736335,9.640999552,9.453476241,10.62008646,9.652898975,9.151634509,9.622798964
MRPS5,7.681964994,8.191375041,8.243936086,7.78853524,7.977767976,7.845150319,8.084117781,7.477303899,7.969616843,7.90107363,7.809722006,7.737081897,7.794608803,7.895040556,7.813966992
SNORD36C,5.758286997,5.700401654,5.973863689,5.963540957,5.537112715,5.367874203,5.437333253,5.766452963,5.721879161,5.922394544,5.856728207,6.107814888,5.904011019,5.806487038,5.845688051
CHRNA6,5.865934942,5.844661735,6.134075482,5.898053052,6.152662179,5.914447908,5.457668548,5.656337551,5.730563096,5.843495355,5.828595005,5.869066766,5.696716349,5.79639219,6.094540356
TBC1D22A,5.955601063,6.051248995,5.657768508,5.577268665,5.407330325,5.71961276,5.854291035,5.760332576,6.105402856,5.690943936,5.553306878,5.443181342,5.618604427,5.391799868,5.830187732
RPL35,10.88794245,11.25864512,11.58909414,11.22142017,11.08240669,11.21419296,11.02129399,11.46884189,11.3606165,11.65555472,11.47474501,12.00210925,11.61762138,11.76820278,11.51126125
AI251715,5.495339375,5.114982384,5.385167342,5.330801455,5.291599954,5.352951375,5.288842984,5.321684261,5.379987381,5.476164901,5.50649361,5.19964008,5.304293744,5.491557997,5.447091931
ST6GALNAC4,7.161619731,7.294473557,6.552647829,6.706886739,6.54838148,7.320253363,6.86108742,7.034506647,7.951133618,6.640930606,7.033967467,6.858701663,7.424765626,7.677377804,7.901664889
TM2D1,8.606974558,7.947866637,8.237842522,8.729166958,8.591013727,8.797987578,9.450876492,9.312002115,9.268968011,9.14999453,9.415797385,9.294075093,8.880116944,9.255999714,9.290990774
RASD2,6.5471619,6.353034006,6.742008548,6.502233273,5.612337274,6.760274952,7.561017106,6.200623658,9.301365598,6.945804151,7.113467723,7.482499667,6.026671078,6.372405309,5.811907016
BM987095,5.552679917,5.326057461,5.280815698,5.617709471,5.316402959,5.324785049,5.535049585,5.427224057,5.416757711,5.605172939,5.25055778,5.480949472,5.314783862,5.712416817,5.366328967
CD364315,5.30053736,5.393043697,5.377821215,5.246966995,5.38835699,5.277685006,5.455086908,5.336468078,5.429634335,5.245935695,5.395123577,5.406657158,5.495673925,5.302122295,5.231072574
UBE2DNL,5.262385929,5.710832214,5.344918624,5.183769303,5.371222327,5.380192442,5.424035225,5.341011259,5.466992995,5.385860278,5.298262171,5.57401376,5.280747759,5.151564204,5.399443077
TFAP2D,5.29162395,5.429859097,5.207862837,5.511784764,5.558385326,5.330083484,5.311490218,5.415389723,5.133529204,5.486087414,5.369887477,5.307896786,5.514386888,5.340558797,5.395301129
ITGA10,6.055028543,5.413937864,6.714510715,5.878868866,6.40959283,5.94971164,6.031470471,6.074028581,5.4799417,6.329704223,6.004429808,6.010856677,6.30956811,6.523738231,5.946985424
LYRM5,8.443535351,8.534653781,8.674813344,8.64446939,8.23611949,8.797944227,8.035133189,8.687186999,8.196398198,9.005646171,8.942144373,8.775992914,8.930362225,8.922029831,8.560774005
LPPR1,5.703732767,5.837932678,5.591357442,5.961784321,5.803718547,5.889826464,5.977784112,6.077728776,5.74511578,5.942296711,5.748910598,6.124080719,6.028880286,5.866820077,5.737683583
MARS2,6.009302615,6.963294274,6.017885352,6.209488948,6.439573917,6.005499421,6.360859526,6.369571472,6.284248099,6.296926957,6.08605862,6.130669588,6.124441306,6.257201746,6.525051671
MAGEC1,5.412334803,5.334202993,5.342585212,5.281649137,5.258578123,5.477239194,5.334359135,5.451443158,7.933479212,5.419446233,5.315784408,5.343670682,5.458687084,5.310760691,5.240073568
PDIA6,8.507807727,9.090804467,7.841399826,8.352159099,8.7395582,8.181129759,9.515963424,8.081950768,9.308253745,8.676158751,7.908640082,8.535717993,8.424852087,7.984670526,7.771104364
FLJ41130,5.441406749,5.322862023,5.643049692,5.473734222,5.404353624,5.467099075,5.551365715,5.64020565,5.523142969,5.470823187,5.45809355,5.381020087,5.532037371,5.632956789,5.488823992
SLC25A25,8.378318311,7.728382563,8.348057269,7.73323756,8.307986022,8.254858774,7.999618946,9.306869773,7.730125476,9.006684686,9.093256001,8.794214186,8.936186926,8.280981833,7.987187257
BX109285,5.207941513,5.300227737,5.360212799,5.454999834,5.277243628,5.31300371,5.37707138,5.443404628,5.221663145,5.261136,5.445155731,5.450046935,5.487338129,5.49894635,5.283767118
AI979035,5.242395191,5.480845864,5.241315792,5.563599829,5.26575214,5.236410296,5.015886341,5.354320519,5.537847223,5.377598093,5.480395231,5.386936496,5.16462514,5.290230651,5.439509666
FGFBP2,5.874227423,5.504612361,6.531881167,5.605908568,5.504788699,5.995096679,5.272447483,5.452947608,5.768191301,5.525932128,5.960125523,5.331498877,5.840516235,6.382222885,5.676544995
LRRC23,6.88774742,6.017646739,5.636807756,6.447381685,6.285075251,5.506470904,5.868394834,6.201975194,5.797876807,5.590285773,6.024047035,5.583700494,5.920935512,5.79969757,6.105790702
PNCK,6.516466035,6.317193556,8.680155105,6.152926853,6.850872286,5.580625911,7.092229838,5.59513131,5.44022443,5.802557291,6.616204102,6.584186623,7.70345322,6.700880162,5.92082992
CA429570,5.45730613,5.532600826,5.186252643,5.316938075,5.492824703,5.44635338,5.517903464,5.600250577,5.406496597,5.480671348,5.353627289,5.301237065,5.54990444,5.66681692,5.397795399
RPS24,7.313840436,8.931837375,9.343814477,8.65642535,7.784743984,7.632076612,8.335490331,7.915825702,8.405815917,7.415337382,7.359697702,8.289742793,8.040538648,7.518756658,7.860967466
C14orf102,9.530002104,9.424313051,9.139450397,8.729494549,8.869928984,9.171724858,8.706918473,9.387787824,8.295372319,8.602474346,9.036994677,8.725990151,9.303004111,9.298384679,8.510322413
AA885282,5.252883512,5.344128636,5.203406091,5.413695424,5.388587867,5.297441101,5.432655624,5.618460422,5.576883015,5.147500741,5.296778929,5.246339538,5.496996471,5.596989951,5.363350078
GLT8D2,8.276765673,6.762350265,8.725305767,8.263818196,8.372671998,9.388835581,8.967529452,8.888134969,6.975132516,8.998073167,8.771313926,7.781078065,8.506115696,8.624120067,6.888547074
AW516315,5.393310688,5.201124955,5.303838991,5.420700692,5.136770308,5.157721192,5.224374009,5.002634641,5.260654221,5.183014033,5.093204094,5.255360811,5.226740424,5.189792398,5.389991611
IGM1,5.866985707,6.245865321,5.983551236,6.147548274,6.011937964,6.081698736,6.160494213,6.046722232,5.990211793,5.847555011,6.084298513,5.956386276,5.85263199,5.867727784,6.209423296
EFCAB4A,10.02710557,10.60789528,8.417695827,9.074080791,9.47772076,8.892575411,9.144771587,11.69030789,9.051305031,9.602088918,10.58223218,9.188075538,8.648210971,9.529171844,9.412859698
REEP3,6.550112259,6.290254447,5.751080025,5.833984893,6.270008187,5.897514372,6.278540596,6.119829169,5.942583229,5.924659395,6.303300464,5.842335867,5.902634106,6.226470976,6.296055388
ECI2,8.188227363,7.932797728,7.749042098,8.405748514,8.255581074,8.103899244,6.893892811,9.723858118,7.382778057,9.409714247,9.580753372,8.855057108,9.728696576,8.987783926,8.574284329
BTBD3,6.848986306,7.561451958,7.164111312,7.363564707,6.920089379,6.656604595,7.016455697,7.080548121,7.54675585,7.352044842,6.964921739,7.223741086,6.577226793,6.682843484,7.039507485
AI808614,5.224915084,5.470193862,5.159269545,5.368844123,5.562775166,5.200173124,5.297673734,5.611821015,5.438599694,5.287432807,5.460529819,5.238800388,5.418410223,5.553091866,5.447876168
RBM17,8.410104135,8.515409685,8.805019555,9.172102683,9.032234217,9.217185966,8.5107947,8.387803348,8.584140529,9.185390178,8.812036145,9.032234217,8.410001557,9.047200894,9.710699322
LOC339524,5.352241318,5.848817522,5.469948436,5.266235258,5.373665676,5.3300178,5.434085502,5.367454951,5.582982678,5.637508819,5.382519012,5.490821047,5.417002509,5.543502563,5.755097758
TRNAU1AP,6.131702411,6.232845757,6.346893746,6.017158077,6.500050791,6.163537118,6.043034965,5.985790553,6.145820477,5.822037034,6.008777882,6.15368902,5.879989129,6.145593675,6.341665848
IL21R,5.652823966,5.610949407,6.112662626,5.764743309,5.384634444,5.803381088,6.011972558,5.728536914,6.982233531,5.923501451,5.854138147,6.622131007,6.215485539,5.755570641,5.842406695
AK094525,5.307057419,5.268179937,5.295166589,5.529965655,5.500387253,5.406047967,5.235570035,5.300407451,5.358652933,5.532777211,5.38786684,5.520893064,5.552768142,5.333592677,5.385172621
RASSF4,6.357525576,6.629273081,6.452537952,6.239661537,6.097525542,6.563912926,6.209345931,6.064711801,7.828737163,6.348209332,6.524761585,7.030644316,6.877161445,6.5922144,6.406160193
BM676998,5.279423845,5.518195368,5.530946289,5.441766431,5.414518627,5.355389251,5.362625382,5.245098501,5.317629999,5.552676808,5.329520127,5.253480522,5.426819168,5.407078138,5.398473749
PLXNB2,9.634033686,10.08837737,9.072432765,9.818407695,9.378441073,9.388272423,9.900784035,9.309009463,9.884818556,9.400739063,9.414565199,8.727500531,9.870917155,8.877603367,9.515298582
OR8H2,5.242925952,5.05537161,5.084852907,5.503800804,5.218744833,5.278021096,4.961878858,5.326967886,5.07090207,5.147235313,5.063910279,5.458712179,4.939990117,5.130637621,4.846740949
